Date,Day,Wom,Month,Year,Offered,Adj-off
15-Oct-13,Tuesday,3,Oct,2013,369,369
16-Oct-13,Wednesday,3,Oct,2013,382,382
17-Oct-13,Thursday,3,Oct,2013,663,663
18-Oct-13,Friday,3,Oct,2013,446,446
19-Oct-13,Saturday,3,Oct,2013,258,258
20-Oct-13,Sunday,3,Oct,2013,290,290
21-Oct-13,Monday,3,Oct,2013,586,586
22-Oct-13,Tuesday,4,Oct,2013,428,428
23-Oct-13,Wednesday,4,Oct,2013,434,434
24-Oct-13,Thursday,4,Oct,2013,448,448
25-Oct-13,Friday,4,Oct,2013,368,368
26-Oct-13,Saturday,4,Oct,2013,187,187
27-Oct-13,Sunday,4,Oct,2013,140,140
28-Oct-13,Monday,4,Oct,2013,362,362
29-Oct-13,Tuesday,5,Oct,2013,424,424
30-Oct-13,Wednesday,5,Oct,2013,367,367
31-Oct-13,Thursday,5,Oct,2013,436,436
1-Nov-13,Friday,1,Nov,2013,420,420
2-Nov-13,Saturday,1,Nov,2013,194,194
3-Nov-13,Sunday,1,Nov,2013,137,137
4-Nov-13,Monday,1,Nov,2013,382,382
5-Nov-13,Tuesday,1,Nov,2013,337,337
6-Nov-13,Wednesday,1,Nov,2013,338,338
7-Nov-13,Thursday,1,Nov,2013,429,429
8-Nov-13,Friday,2,Nov,2013,386,386
9-Nov-13,Saturday,2,Nov,2013,209,209
10-Nov-13,Sunday,2,Nov,2013,172,172
11-Nov-13,Monday,2,Nov,2013,428,428
12-Nov-13,Tuesday,2,Nov,2013,412,412
13-Nov-13,Wednesday,2,Nov,2013,428,428
14-Nov-13,Thursday,2,Nov,2013,523,523
15-Nov-13,Friday,3,Nov,2013,430,430
16-Nov-13,Saturday,3,Nov,2013,259,259
17-Nov-13,Sunday,3,Nov,2013,231,231
18-Nov-13,Monday,3,Nov,2013,514,514
19-Nov-13,Tuesday,3,Nov,2013,554,554
20-Nov-13,Wednesday,3,Nov,2013,493,493
21-Nov-13,Thursday,3,Nov,2013,664,664
22-Nov-13,Friday,4,Nov,2013,552,552
23-Nov-13,Saturday,4,Nov,2013,307,307
24-Nov-13,Sunday,4,Nov,2013,199,199
25-Nov-13,Monday,4,Nov,2013,531,531
26-Nov-13,Tuesday,4,Nov,2013,494,494
27-Nov-13,Wednesday,4,Nov,2013,524,524
28-Nov-13,Thursday,4,Nov,2013,396,396
29-Nov-13,Friday,5,Nov,2013,1036,425
30-Nov-13,Saturday,5,Nov,2013,709,234
1-Dec-13,Sunday,1,Dec,2013,454,186
2-Dec-13,Monday,1,Dec,2013,1453,471
3-Dec-13,Tuesday,1,Dec,2013,773,453
4-Dec-13,Wednesday,1,Dec,2013,706,461
5-Dec-13,Thursday,1,Dec,2013,699,699
6-Dec-13,Friday,1,Dec,2013,688,491
7-Dec-13,Saturday,1,Dec,2013,409,283
8-Dec-13,Sunday,2,Dec,2013,296,296
9-Dec-13,Monday,2,Dec,2013,781,523
10-Dec-13,Tuesday,2,Dec,2013,747,524
11-Dec-13,Wednesday,2,Dec,2013,730,509
